F0	F1	F2
i	g	e
j	a	e
j	a	a
a	f	i
e	j	b
g	i	e
i	g	c
a	f	d
f	j	e
a	c	f
b	d	g
f	c	f
e	j	c
c	a	c
f	j	f
c	g	g
e	c	g
e	j	c
e	i	g
j	c	h
h	e	j
b	b	i
c	f	i
c	f	j
i	a	g
e	d	b
g	d	b
a	e	d
i	c	c
i	c	g
h	b	j
j	h	b
h	i	e
f	c	a
d	g	h
c	a	a
g	i	h
f	d	g
h	e	c
b	d	b
d	h	b
f	b	d
h	b	d
i	g	h
b	b	j
b	j	g
e	j	b
d	g	f
j	h	c
c	b	i
e	i	f
i	c	g
j	h	e
g	i	b
e	j	h
b	j	g
a	b	c
c	h	a
i	a	h
j	g	g
j	g	e
a	b	i
d	h	a
f	i	b
g	i	g
f	f	d
b	j	a
c	h	c
e	i	e
i	c	b
g	i	g
j	a	c
h	e	d
b	f	d
b	b	i
a	d	f
f	j	b
b	i	b
c	e	d
c	h	e
h	d	a
c	a	h
i	c	h
g	f	d
a	e	i
i	g	e
b	d	b
h	i	b
c	b	i
g	b	j
c	b	d
g	j	a
d	g	b
c	e	j
e	d	f
c	a	b
e	j	b
g	e	i
j	a	h
i	a	f
h	i	e
f	j	c
j	a	a
h	h	c
a	f	d
i	a	b
f	d	c
b	j	a
g	c	a
g	c	f
h	e	i
e	f	j
i	c	c
d	h	b
c	b	c
d	h	c
d	c	g
h	j	a
a	d	e
g	e	i
f	d	e
j	g	g
b	j	e
b	d	e
d	a	a
f	d	c
h	d	b
d	c	a
c	d	f
b	j	g
f	b	d
i	a	h
f	i	c
i	a	a
d	h	c
g	e	j
a	b	j
g	f	j
f	j	b
b	f	i
f	i	b
i	c	h
f	j	b
b	e	d
h	j	h
g	b	i
g	d	b
i	c	h
a	b	c
c	e	j
i	a	g
g	b	d
c	g	h
i	g	g
g	j	f
b	i	h
b	i	c
g	i	h
f	c	b
a	i	h
i	c	f
f	j	g
i	c	e
c	f	j
f	d	f
j	a	e
j	h	e
h	d	a
g	j	f
h	e	j
g	f	i
g	b	c
d	g	g
e	j	h
f	d	b
f	d	h
d	g	c
a	f	c
d	a	a
c	c	g
b	d	a
b	c	g
g	b	d
b	f	d
i	h	a
j	h	b
j	c	h
c	j	c
f	j	f
b	b	i
a	e	i
f	b	j
e	c	e
i	g	f
a	f	d
e	j	a
j	g	f
c	c	b
g	d	e
e	d	e
h	e	d
i	h	b
g	i	a
h	e	d
d	g	g
e	d	b
i	a	g
c	f	j
i	a	c
i	a	c
e	h	j
f	b	j
d	a	h
a	b	i
j	a	c
e	i	f
a	f	d
d	g	b
j	a	g
h	f	j
i	g	g
c	h	d
j	h	g
d	h	b
e	d	b
i	h	e
j	h	a
b	j	a
b	b	j
c	g	b
e	d	h
d	a	b
c	c	c
b	j	e
c	d	g
i	h	h
b	d	g
a	f	j
e	d	h
b	e	i
c	c	e
i	a	g
b	e	d
c	e	d
e	f	d
e	d	f
e	j	h
d	a	b
c	f	c
b	e	j
e	d	a
d	c	e
c	e	i
i	a	h
g	f	d
e	j	b
e	f	c
b	h	j
h	i	f
e	f	d
b	c	f
d	c	h
j	a	f
e	i	a
a	b	d
e	b	i
e	e	i
c	b	c
e	b	j
i	c	a
i	g	a
e	i	f
d	a	f
d	a	b
j	g	g
f	j	f
e	d	b
e	c	f
d	a	h
g	i	g
h	f	d
b	d	f
c	b	d
d	c	g
c	b	d
j	c	f
d	g	a
j	h	h
f	b	d
h	e	j
b	j	c
j	a	a
a	b	i
c	a	f
g	e	j
b	d	h
h	d	g
g	h	i
g	c	h
b	c	b
d	a	b
i	a	a
f	d	h
c	h	j
h	f	i
f	e	d
a	b	i
f	j	a
e	i	g
j	h	f
j	a	c
a	i	g
f	d	h
a	h	d
d	c	g
g	b	i
j	h	b
h	e	j
g	b	d
a	i	h
c	b	j
d	g	e
e	j	f
a	e	i
h	h	c
b	d	f
g	h	j
h	b	j
j	h	a
i	g	a
a	f	d
g	i	f
b	c	e
d	g	c
i	a	c
h	d	f
j	g	h
g	f	i
b	h	d
c	a	e
e	f	c
h	c	e
g	f	i
f	d	h
e	j	e
g	f	c
g	b	i
e	j	b
i	a	a
h	d	a
i	a	e
h	e	i
g	d	e
j	g	e
e	j	b
h	e	j
j	c	f
h	b	j
j	h	g
f	i	e
e	d	b
g	i	f
h	i	f
i	a	h
c	f	c
b	e	c
i	a	a
i	g	g
d	c	e
d	g	b
a	f	j
a	e	i
e	j	g
j	a	f
g	b	i
f	d	a
i	h	f
c	g	f
i	a	h
j	h	e
d	g	b
f	f	d
d	a	f
c	j	b
g	e	j
g	f	i
f	c	f
e	e	d
c	g	h
i	a	a
b	b	j
g	h	d
a	e	i
h	i	f
f	e	d
a	e	d
i	c	f
f	h	d
c	c	c
g	d	e
b	c	e
j	g	g
c	h	f
g	b	d
j	h	a
f	j	f
b	b	d
h	c	g
h	i	a
f	j	c
h	b	i
i	g	c
g	b	d
a	e	j
g	e	j
d	g	c
a	e	c
h	b	j
i	h	f
j	g	e
i	h	f
a	j	g
i	g	h
d	g	c
a	e	i
j	g	a
e	h	j
f	i	e
h	j	g
c	i	e
b	j	h
h	c	f
g	f	j
j	g	c
d	g	f
b	d	f
d	a	c
e	i	a
b	i	c
j	g	a
h	e	i
i	a	g
h	e	i
c	d	e
c	e	d
d	g	b
d	a	a
h	b	j
c	a	e
c	f	d
d	g	g
e	d	g
a	b	j
j	a	f
j	g	e
b	c	f
f	i	c
g	d	c
h	e	j
d	c	e
i	g	h
d	g	g
i	h	b
j	h	b
g	d	h
d	c	h
g	f	j
i	g	c
g	e	i
c	e	c
e	i	a
b	j	a
f	d	g
j	a	c
f	i	b
h	e	d
f	d	e
c	f	d
a	b	d
g	j	b
d	g	f
j	c	h
f	i	b
j	h	f
i	g	c
d	h	e
g	b	d
i	c	a
b	c	b
a	i	h
f	b	i
j	h	c
c	c	a
b	f	i
b	d	e
e	j	e
c	f	d
d	g	b
b	i	e
i	g	c
f	f	j
b	i	a
b	j	e
a	f	d
j	a	b
b	e	j
f	e	i
a	b	d
h	i	g
a	d	b
a	e	j
a	d	f
e	j	e
d	a	f
c	e	i
b	j	h
i	c	a
e	j	f
g	f	i
c	h	e
e	c	a
a	b	j
j	a	e
a	f	j
h	b	d
b	d	h
i	g	g
b	f	i
a	e	i
e	j	e
f	e	i
d	g	a
f	c	g
d	g	c
a	b	i
j	a	a
f	d	e
i	h	b
h	f	d
c	e	i
g	b	d
b	c	g
h	i	a
a	i	f
i	c	h
a	j	f
h	i	b
f	j	b
e	e	i
h	b	i
e	f	d
e	c	h
i	h	b
d	g	e
c	c	a
a	e	j
e	d	h
a	j	f
d	c	e
e	d	a
g	j	f
g	f	c
i	c	h
a	f	j
j	a	c
f	i	c
a	e	j
d	a	a
g	h	d
f	j	f
e	j	g
h	j	g
a	d	g
g	d	e
i	c	a
a	j	h
h	b	d
j	h	f
e	i	e
i	a	b
h	e	j
d	h	a
d	g	a
f	j	g
d	g	a
g	i	f
c	e	j
i	c	c
e	e	j
a	b	j
e	i	e
f	i	c
i	c	c
d	c	a
f	f	d
i	g	g
d	c	h
h	f	i
g	c	b
f	f	i
c	b	c
f	d	e
h	b	d
f	j	h
i	a	a
b	i	a
d	g	g
e	d	g
j	c	b
c	f	c
e	i	h
c	h	j
b	i	a
c	b	d
c	e	j
h	h	d
j	g	h
c	a	a
j	a	c
i	a	h
a	f	i
a	h	i
i	g	e
e	i	h
c	g	c
a	e	d
e	j	b
a	f	i
h	h	c
c	e	d
g	e	d
g	j	c
d	a	g
h	b	j
f	j	e
e	j	f
b	i	e
g	b	i
f	j	g
a	f	i
f	f	d
c	f	j
j	g	h
e	d	b
f	c	a
a	e	i
a	b	i
g	d	f
e	b	j
d	c	f
g	h	i
j	h	c
h	e	i
d	a	b
b	f	j
i	h	h
b	j	g
d	c	c
h	d	f
d	h	e
c	b	j
j	g	b
a	b	i
h	e	i
d	g	a
j	a	g
g	f	c
e	j	g
h	i	g
g	b	j
a	d	f
h	f	i
h	e	d
a	e	d
g	d	f
a	f	i
b	f	d
a	e	j
b	b	j
g	h	j
e	f	i
h	b	j
g	j	f
a	d	b
b	f	j
c	e	d
f	d	h
i	a	c
f	c	e
h	e	j
b	i	h
c	e	j
i	c	c
j	h	c
b	i	e
i	h	a
b	i	f
g	h	d
b	h	j
g	f	j
b	f	i
j	a	c
g	j	b
j	c	g
e	j	b
h	e	j
f	f	j
c	h	b
b	j	e
h	c	h
a	d	b
d	g	g
b	i	f
i	g	g
d	h	b
i	g	h
